service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CALEND-719-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-719-Σάββατο-10,0,0,0,0,0,1,0,20161203,20170701
CALEND-721-727-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-721-727-Κυριακή-03,0,0,0,0,0,0,1,20161204,20170625
CALEND-721-727-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-723-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-723-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-723-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-724-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
CALEND-724-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-724-Σάββατο-09,0,0,0,0,0,1,0,20161203,20170701
CALEND-730-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-730-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-730-Σάββατο-10,0,0,0,0,0,1,0,20161203,20170701
CALEND-731-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-731-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-731-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-732-Καθημερινή-19,1,1,1,1,1,0,0,20161201,20170630
CALEND-732-Κυριακή-12,0,0,0,0,0,0,1,20161204,20170625
CALEND-732-Σάββατο-09,0,0,0,0,0,1,0,20161203,20170701
CALEND-740-Καθημερινή-03,1,1,1,1,1,0,0,20161201,20170630
CALEND-740-Κυριακή-03,0,0,0,0,0,0,1,20161204,20170625
CALEND-740-Σάββατο-03,0,0,0,0,0,1,0,20161203,20170701
CALEND-747-Καθημερινή-12,1,1,1,1,1,0,0,20161201,20170630
CALEND-747-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-747-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
