shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
ΑΘΗΝΧΑΛΚ,38.1688025,23.8577302,921
ΑΘΗΝΧΑΛΚ,38.1691939,23.8576186,924
ΑΘΗΝΧΑΛΚ,38.1695987,23.8574126,927
ΑΘΗΝΧΑΛΚ,38.1699429,23.8571894,930
ΑΘΗΝΧΑΛΚ,38.1703477,23.8568633,933
ΑΘΗΝΧΑΛΚ,38.1706447,23.8565285,936
ΑΘΗΝΧΑΛΚ,38.1709146,23.856108,939
ΑΘΗΝΧΑΛΚ,38.1711234,23.8557462,942
ΑΘΗΝΧΑΛΚ,38.0959645,23.7746448,945
ΑΘΗΝΧΑΛΚ,38.0934618,23.7710653,948
ΑΘΗΝΧΑΛΚ,38.0911388,23.7677012,951
ΑΘΗΝΧΑΛΚ,38.0899146,23.7659179,954
ΑΘΗΝΧΑΛΚ,38.0860685,23.7594885,957
ΑΘΗΝΧΑΛΚ,38.0813356,23.7516229,960
ΑΘΗΝΧΑΛΚ,38.09623,23.7750233,963
ΑΘΗΝΧΑΛΚ,38.0959645,23.7746448,966
ΑΘΗΝΧΑΛΚ,38.1641903,23.8617159,969
ΑΘΗΝΧΑΛΚ,38.1638061,23.8621245,972
ΑΘΗΝΧΑΛΚ,38.1634917,23.8623994,975
ΑΘΗΝΧΑΛΚ,38.1630193,23.8627856,978
ΑΘΗΝΧΑΛΚ,38.1624794,23.8631289,981
ΑΘΗΝΧΑΛΚ,38.1615751,23.8635924,984
ΑΘΗΝΧΑΛΚ,38.1609879,23.8639014,987
ΑΘΗΝΧΑΛΚ,38.1605571,23.86427,990
ΑΘΗΝΧΑΛΚ,38.1601861,23.8645666,993
ΑΘΗΝΧΑΛΚ,38.1598676,23.8648562,996
ΑΘΗΝΧΑΛΚ,38.1595104,23.8652626,999
ΑΘΗΝΧΑΛΚ,38.1592149,23.8656687,1002
ΑΘΗΝΧΑΛΚ,38.1585324,23.8666147,1005
ΑΘΗΝΧΑΛΚ,38.1581075,23.8673524,1008
ΑΘΗΝΧΑΛΚ,38.1576595,23.8681875,1011
ΑΘΗΝΧΑΛΚ,38.1571681,23.8690942,1014
ΑΘΗΝΧΑΛΚ,38.1570381,23.8693545,1017
ΑΘΗΝΧΑΛΚ,38.1715063,23.8549734,1020
ΑΘΗΝΧΑΛΚ,38.1717321,23.8545368,1023
ΑΘΗΝΧΑΛΚ,38.1720684,23.8540566,1026
ΑΘΗΝΧΑΛΚ,38.1723181,23.8537734,1029
ΑΘΗΝΧΑΛΚ,38.1725745,23.8535159,1032
ΑΘΗΝΧΑΛΚ,38.1729254,23.8532412,1035
ΑΘΗΝΧΑΛΚ,38.1733775,23.8530009,1038
ΑΘΗΝΧΑΛΚ,38.17387,23.8527777,1041
ΑΘΗΝΧΑΛΚ,38.1743154,23.8526061,1044
ΑΘΗΝΧΑΛΚ,38.1745515,23.8524859,1047
ΑΘΗΝΧΑΛΚ,38.1748282,23.8523057,1050
ΑΘΗΝΧΑΛΚ,38.1751655,23.8520138,1053
ΑΘΗΝΧΑΛΚ,38.1755704,23.8515761,1056
ΑΘΗΝΧΑΛΚ,38.1763396,23.8506663,1059
ΑΘΗΝΧΑΛΚ,38.1767444,23.8502715,1062
ΑΘΗΝΧΑΛΚ,38.1771627,23.8499539,1065
ΑΘΗΝΧΑΛΚ,38.1776215,23.8496964,1068
ΑΘΗΝΧΑΛΚ,38.1779386,23.8495677,1071
ΑΘΗΝΧΑΛΚ,38.1795174,23.848984,1074
ΑΘΗΝΧΑΛΚ,38.179929,23.8487952,1077
ΑΘΗΝΧΑΛΚ,38.1803203,23.8485892,1080
ΑΘΗΝΧΑΛΚ,38.1807521,23.8483145,1083
ΑΘΗΝΧΑΛΚ,38.1814066,23.8478511,1086
ΑΘΗΝΧΑΛΚ,38.1843549,23.8456795,1089
ΑΘΗΝΧΑΛΚ,38.1846517,23.8454735,1092
ΑΘΗΝΧΑΛΚ,38.184962,23.8452847,1095
ΑΘΗΝΧΑΛΚ,38.1852184,23.845156,1098
ΑΘΗΝΧΑΛΚ,38.1855422,23.8450358,1101
ΑΘΗΝΧΑΛΚ,38.1858526,23.8449414,1104
ΑΘΗΝΧΑΛΚ,38.1861494,23.8448727,1107
ΑΘΗΝΧΑΛΚ,38.1864328,23.8448268,1110
ΑΘΗΝΧΑΛΚ,38.2770133,23.6701178,1113
ΑΘΗΝΧΑΛΚ,38.2768134,23.6702485,1116
ΑΘΗΝΧΑΛΚ,38.2764698,23.6704888,1119
ΑΘΗΝΧΑΛΚ,38.276052,23.6707978,1122
ΑΘΗΝΧΑΛΚ,38.2755736,23.6712012,1125
ΑΘΗΝΧΑΛΚ,38.2752502,23.6715188,1128
ΑΘΗΝΧΑΛΚ,38.274819,23.6719651,1131
ΑΘΗΝΧΑΛΚ,38.2744147,23.6724457,1134
ΑΘΗΝΧΑΛΚ,38.2740373,23.672892,1137
ΑΘΗΝΧΑΛΚ,38.2735724,23.6734843,1140
ΑΘΗΝΧΑΛΚ,38.2732759,23.6738619,1143
ΑΘΗΝΧΑΛΚ,38.272939,23.6742653,1146
ΑΘΗΝΧΑΛΚ,38.2726627,23.6745228,1149
ΑΘΗΝΧΑΛΚ,38.2723056,23.6747975,1152
ΑΘΗΝΧΑΛΚ,38.2720428,23.6749863,1155
